station_name,station_id,latitude,longitude
Morris Canal,JC072,40.712296724,-74.038184762
JC Medical Center,JC110,40.71539114317,-74.04969155788422
Church Sq Park - 5 St & Park Ave,HB601,40.74265933273143,-74.03223305940628
Riverview Park,JC057,40.74473989,-74.043800712
Jersey & 3rd,JC074,40.72333158646436,-74.04595255851744
Hamilton Park,JC009,40.727468014,-74.044262052
York St & Marin Blvd,JC097,40.716631174,-74.042326093
14 St Ferry - 14 St & Shipyard Ln,HB202,40.752686381,-74.024200678
Bergen Ave & Sip Ave,JC109,40.73100888698729,-74.06443700194359
Astor Place,JC077,40.719179392,-74.07133913
McGinley Square,JC055,40.725471616,-74.067588806
Fairmount Ave,JC093,40.72572613742557,-74.07195925712585
Exchange Pl,JC116,40.71636596185077,-74.034343957901
Baldwin at Montgomery,JC020,40.723555446,-74.064273596
Warren St,JC006,40.7211236,-74.03805095
Stevens - River Ter & 6 St,HB602,40.74313282710551,-74.02698867022991
City Hall - Washington St & 1 St,HB105,40.73736,-74.03097
Adams St & 2 St,HB407,40.73981372311843,-74.03690412640572
Communipaw & Berry Lane,JC084,40.714394927,-74.066722989
Grove St PATH,JC115,40.719120622,-74.043265224
Van Vorst Park,JC035,40.7184093,-74.04775238
Manila & 1st,JC082,40.72165072487999,-74.04288411140442
Hoboken Ave at Monmouth St,JC105,40.7406442,-74.04263161666667
Christ Hospital,JC034,40.734785818,-74.050443636
Madison St & 1 St,HB402,40.738865256,-74.039425135
South Waterfront Walkway - Sinatra Dr & 1 St,HB103,40.73698221818716,-74.02778059244156
Newport Pkwy,JC008,40.7287448,-74.0321082
Newark Ave,JC032,40.72152515,-74.046304543
Marin Light Rail,JC013,40.71458403535893,-74.04281705617905
Adams St & 12 St,HB610,40.751889392240685,-74.03329162748534
Grand St,JC102,40.714990735,-74.037752509
Hilltop,JC019,40.731070995,-74.057455182
Monmouth and 6th,JC075,40.72568548362901,-74.04879033565521
Union St,JC051,40.718115449,-74.083354235
4 St & Grand St,HB301,40.7422579775645,-74.03511106967926
Columbus Drive,JC014,40.718622446,-74.038507938
Lafayette Park,JC078,40.713522673,-74.062869549
Harborside,JC104,40.7192517,-74.034234
Hoboken Terminal - River St & Hudson Pl,HB102,40.7360676564825,-74.02912706136703
Glenwood Ave,JC094,40.72755146730012,-74.07106071710587
2 St & Park Ave,HB608,40.739149332,-74.033083558
Bergen Ave & Stegman St,JC108,40.706815362,-74.086660266
Madison St & 10 St,HB503,40.750047565,-74.035929918
Liberty Light Rail,JC052,40.7112423,-74.0557013
Pershing Field,JC024,40.742677141,-74.051788633
Heights Elevator,JC059,40.748743773,-74.040528297
Journal Square,JC103,40.733903646,-74.062683344
Grant Ave & MLK Dr,JC107,40.709116578,-74.080614567
Brunswick & 6th,JC081,40.726179719,-74.050368905
River St & 1 St,HB609,40.737209201,-74.028731823
Grand St & 14 St,HB506,40.754101396,-74.031496406
7 St & Monroe St,HB304,40.746481776,-74.038190484
6 St & Grand St,HB302,40.7443978330956,-74.03450086712837
